"","symbol","cases","ctrls","Odds ratio","95% CIs","P value","Adj. P value"
"TSHR","TSHR",4,25,0.984,"0.248-2.859",1,1
"TSHZ1","TSHZ1",6,22,1.681,"0.556-4.289",0.269597015607519,1
"TSHZ2","TSHZ2",9,31,1.793,"0.748-3.872",0.16430943898622,1
"TSHZ3","TSHZ3",6,36,1.025,"0.352-2.465",1,1
"TSKS","TSKS",1,16,0.384,"0.009-2.476",0.496145436788319,1
"TSKU","TSKU",2,10,1.231,"0.131-5.787",0.679878101976289,1
"TSLP","TSLP",2,0,Inf,"1.156-Inf",0.0195378017873831,1
"TSN","TSN",0,1,0,"0-239.007",1,1
"TSNARE1","TSNARE1",3,14,1.319,"0.243-4.737",0.722097011321823,1
"TSNAX","TSNAX",0,6,0,"0-5.227",1,1
"TSNAXIP1","TSNAXIP1",2,34,0.361,"0.042-1.41",0.223482104356365,1
"TSPAN1","TSPAN1",1,4,1.538,"0.031-15.557",0.529226454405268,1
"TSPAN10","TSPAN10",3,12,1.539,"0.278-5.716",0.455429043363959,1
"TSPAN11","TSPAN11",3,11,1.679,"0.3-6.372",0.431542721818455,1
"TSPAN12","TSPAN12",1,4,1.538,"0.031-15.557",0.529226454405268,1
"TSPAN13","TSPAN13",0,6,0,"0-5.227",1,1
"TSPAN14","TSPAN14",2,5,2.463,"0.234-15.066",0.255111685903417,1
"TSPAN15","TSPAN15",3,4,4.623,"0.676-27.353",0.0616957084007511,1
"TSPAN16","TSPAN16",1,7,0.879,"0.019-6.851",1,1
"TSPAN17","TSPAN17",3,9,2.053,"0.357-8.245",0.22966252990832,1
"TSPAN18","TSPAN18",0,13,0,"0-2.018",0.237075628696029,1
"TSPAN19","TSPAN19",2,8,1.539,"0.159-7.725",0.639392254739406,1
"TSPAN2","TSPAN2",1,7,0.879,"0.019-6.851",1,1
"TSPAN3","TSPAN3",3,1,18.492,"1.483-965.619",0.00976882638127349,1
"TSPAN31","TSPAN31",0,5,0,"0-6.716",1,1
"TSPAN32","TSPAN32",3,7,2.64,"0.44-11.587",0.154003911264573,1
"TSPAN33","TSPAN33",3,11,1.679,"0.3-6.372",0.431542721818455,1
"TSPAN4","TSPAN4",3,9,2.053,"0.357-8.245",0.22966252990832,1
"TSPAN5","TSPAN5",1,3,2.051,"0.039-25.583",0.452645520331089,1
"TSPAN6","TSPAN6",1,4,1.538,"0.031-15.557",0.529226454405268,1
"TSPAN7","TSPAN7",0,1,0,"0-239.007",1,1
"TSPAN8","TSPAN8",0,5,0,"0-6.716",1,1
"TSPAN9","TSPAN9",2,8,1.539,"0.159-7.725",0.639392254739406,1
"TSPEAR","TSPEAR",5,37,0.83,"0.254-2.125",0.826339860035477,1
"TSPO","TSPO",2,9,1.368,"0.144-6.62",0.658821194906285,1
"TSPO2","TSPO2",0,3,0,"0-14.893",1,1
"TSPYL1","TSPYL1",0,12,0,"0-2.214",0.39347571054441,1
"TSPYL2","TSPYL2",2,19,0.647,"0.073-2.688",0.758010506082774,1
"TSPYL4","TSPYL4",0,7,0,"0-4.27",0.603344925597232,1
"TSPYL5","TSPYL5",1,17,0.361,"0.009-2.31",0.497844008879486,1
"TSPYL6","TSPYL6",3,9,2.053,"0.357-8.245",0.22966252990832,1
"TSR1","TSR1",4,29,0.848,"0.216-2.422",1,1
"TSR2","TSR2",0,1,0,"0-239.007",1,1
"TSR3","TSR3",2,14,0.879,"0.097-3.834",1,1
"TSRM","TSRM",0,2,0,"0-32.757",1,1
"TSSC1","TSSC1",3,11,1.679,"0.3-6.372",0.431542721818455,1
"TSSC4","TSSC4",5,13,2.372,"0.661-7.109",0.0952232307268908,1
"TSSK1B","TSSK1B",2,11,1.119,"0.12-5.136",0.701727828969992,1
"TSSK2","TSSK2",1,9,0.683,"0.016-4.939",1,1
"TSSK3","TSSK3",1,9,0.683,"0.016-4.939",1,1
"TSSK4","TSSK4",1,8,0.769,"0.017-5.744",1,1
"TSSK6","TSSK6",1,6,1.025,"0.022-8.464",1,1
"TST","TST",4,19,1.296,"0.32-3.91",0.552339193553217,1
"TSTA3","TSTA3",2,12,1.025,"0.111-4.615",1,1
"TSTD1","TSTD1",0,2,0,"0-32.757",1,1
"TSTD2","TSTD2",4,14,1.76,"0.421-5.62",0.30354301091107,1
"TTBK1","TTBK1",7,42,1.025,"0.388-2.312",0.838770258873144,1
"TTBK2","TTBK2",11,26,2.619,"1.164-5.505",0.0137916563910872,1
"TTC1","TTC1",3,8,2.31,"0.394-9.644",0.190882615970189,1
"TTC12","TTC12",3,27,0.683,"0.132-2.224",0.790947924273004,1
"TTC13","TTC13",3,16,1.154,"0.215-4.041",0.741504891089014,1
"TTC14","TTC14",3,20,0.922,"0.175-3.119",1,1
"TTC16","TTC16",5,30,1.025,"0.31-2.677",1,1
"TTC17","TTC17",8,26,1.899,"0.741-4.335",0.131016164384073,1
"TTC18","TTC18",3,24,0.768,"0.148-2.537",1,1
"TTC19","TTC19",2,11,1.119,"0.12-5.136",0.701727828969992,1
"TTC21A","TTC21A",7,45,0.957,"0.363-2.144",1,1
"TTC21B","TTC21B",13,45,1.787,"0.881-3.385",0.0835147438825053,1
"TTC22","TTC22",4,22,1.119,"0.28-3.304",0.777283883271066,1
"TTC23","TTC23",2,10,1.231,"0.131-5.787",0.679878101976289,1
"TTC23L","TTC23L",1,6,1.025,"0.022-8.464",1,1
"TTC24","TTC24",6,13,2.849,"0.886-8.057",0.0396663268326975,1
"TTC26","TTC26",2,6,2.052,"0.202-11.499",0.310577073195175,1
"TTC27","TTC27",1,23,0.267,"0.006-1.646",0.239266558158527,1
"TTC28","TTC28",11,60,1.129,"0.533-2.177",0.730060067686633,1
"TTC29","TTC29",3,13,1.421,"0.259-5.182",0.481390254039294,1
"TTC3","TTC3",8,38,1.297,"0.521-2.833",0.51995034926621,1
"TTC30A","TTC30A",3,15,1.231,"0.228-4.362",0.731093398242643,1
"TTC30B","TTC30B",5,23,1.339,"0.397-3.611",0.5813206626191,1
"TTC31","TTC31",7,21,2.057,"0.737-5.04",0.100320660083949,1
"TTC32","TTC32",0,6,0,"0-5.227",1,1
"TTC33","TTC33",0,5,0,"0-6.716",1,1
"TTC34","TTC34",9,23,2.419,"0.982-5.445",0.0353410762522546,1
"TTC36","TTC36",3,8,2.31,"0.394-9.644",0.190882615970189,1
"TTC37","TTC37",14,37,2.345,"1.167-4.46",0.0126570764132578,1
"TTC38","TTC38",5,21,1.467,"0.431-4.009",0.398019319083079,1
"TTC39A","TTC39A",1,10,0.615,"0.014-4.33",1,1
"TTC39B","TTC39B",2,26,0.472,"0.054-1.891",0.41663650872336,1
"TTC39C","TTC39C",3,8,2.31,"0.394-9.644",0.190882615970189,1
"TTC4","TTC4",3,9,2.053,"0.357-8.245",0.22966252990832,1
"TTC40","TTC40",24,95,1.567,"0.953-2.487",0.0608183491841265,1
"TTC5","TTC5",1,10,0.615,"0.014-4.33",1,1
"TTC6","TTC6",11,48,1.414,"0.66-2.772",0.342840015594113,1
"TTC7A","TTC7A",7,31,1.392,"0.516-3.232",0.477883632813287,1
"TTC7B","TTC7B",3,18,1.025,"0.193-3.521",1,1
"TTC8","TTC8",2,23,0.534,"0.061-2.167",0.566040083512449,1
"TTC9","TTC9",0,5,0,"0-6.716",1,1
"TTC9B","TTC9B",1,5,1.23,"0.026-11.012",0.595101749677219,1
"TTC9C","TTC9C",1,8,0.769,"0.017-5.744",1,1
"TTF1","TTF1",3,16,1.154,"0.215-4.041",0.741504891089014,1
"TTF2","TTF2",6,22,1.681,"0.556-4.289",0.269597015607519,1
"TTI1","TTI1",1,22,0.279,"0.007-1.729",0.238930332860639,1
"TTI2","TTI2",5,14,2.202,"0.619-6.487",0.172005054429364,1
"TTK","TTK",1,16,0.384,"0.009-2.476",0.496145436788319,1
"TTL","TTL",3,7,2.64,"0.44-11.587",0.154003911264573,1
"TTLL1","TTLL1",3,13,1.421,"0.259-5.182",0.481390254039294,1
"TTLL10","TTLL10",6,33,1.119,"0.382-2.714",0.815875643715988,1
"TTLL11","TTLL11",3,23,0.802,"0.154-2.661",1,1
"TTLL12","TTLL12",5,18,1.712,"0.496-4.798",0.358532331212776,1
"TTLL13","TTLL13",4,22,1.119,"0.28-3.304",0.777283883271066,1
"TTLL2","TTLL2",0,9,0,"0-3.117",0.622676612666482,1
"TTLL3","TTLL3",5,40,0.768,"0.236-1.952",0.828396741262892,1
"TTLL4","TTLL4",7,27,1.599,"0.586-3.776",0.315583990917852,1
"TTLL5","TTLL5",11,45,1.509,"0.701-2.975",0.242561416212003,1
"TTLL6","TTLL6",4,25,0.984,"0.248-2.859",1,1
"TTLL7","TTLL7",4,15,1.643,"0.396-5.169",0.326861544700347,1
"TTLL8","TTLL8",5,36,0.854,"0.261-2.19",1,1
"TTLL9","TTLL9",3,16,1.154,"0.215-4.041",0.741504891089014,1
"TTN","TTN",1038,6385,0,"0-Inf",1,1
"TTPA","TTPA",0,6,0,"0-5.227",1,1
"TTPAL","TTPAL",2,8,1.539,"0.159-7.725",0.639392254739406,1
"TTR","TTR",1,3,2.051,"0.039-25.583",0.452645520331089,1
"TTYH1","TTYH1",1,13,0.473,"0.011-3.153",0.70780597982364,1
"TTYH2","TTYH2",2,15,0.82,"0.091-3.534",1,1
"TTYH3","TTYH3",3,19,0.971,"0.184-3.308",1,1
"TUB","TUB",3,18,1.025,"0.193-3.521",1,1
"TUBA1A","TUBA1A",0,2,0,"0-32.757",1,1
"TUBA1B","TUBA1B",1,1,6.154,"0.078-481.339",0.260133490143103,1
"TUBA1C","TUBA1C",2,6,2.052,"0.202-11.499",0.310577073195175,1
"TUBA3C","TUBA3C",4,21,1.172,"0.292-3.484",0.770935104837492,1
"TUBA3D","TUBA3D",3,23,0.802,"0.154-2.661",1,1
"TUBA3E","TUBA3E",4,22,1.119,"0.28-3.304",0.777283883271066,1
"TUBA4A","TUBA4A",0,8,0,"0-3.605",0.610068929015988,1
"TUBA8","TUBA8",3,14,1.319,"0.243-4.737",0.722097011321823,1
"TUBAL3","TUBAL3",5,18,1.712,"0.496-4.798",0.358532331212776,1
"TUBB","TUBB",0,2,0,"0-32.757",1,1
"TUBB1","TUBB1",6,21,1.762,"0.58-4.527",0.258138436865367,1
"TUBB2A","TUBB2A",0,2,0,"0-32.757",1,1
"TUBB2B","TUBB2B",0,1,0,"0-239.007",1,1
"TUBB3","TUBB3",2,8,1.539,"0.159-7.725",0.639392254739406,1
"TUBB4A","TUBB4A",2,7,1.759,"0.178-9.255",0.365109577660504,1
"TUBB4B","TUBB4B",1,5,1.23,"0.026-11.012",0.595101749677219,1
"TUBB6","TUBB6",1,12,0.512,"0.012-3.468",1,1
"TUBB8","TUBB8",2,25,0.491,"0.056-1.975",0.57415365729949,1
"TUBD1","TUBD1",2,4,3.079,"0.278-21.514",0.199849978045513,1
"TUBE1","TUBE1",2,7,1.759,"0.178-9.255",0.365109577660504,1
"TUBG1","TUBG1",1,5,1.23,"0.026-11.012",0.595101749677219,1
"TUBG2","TUBG2",2,12,1.025,"0.111-4.615",1,1
"TUBGCP2","TUBGCP2",2,28,0.438,"0.051-1.743",0.423930810749317,1
"TUBGCP3","TUBGCP3",4,16,1.54,"0.374-4.786",0.511840078855896,1
"TUBGCP4","TUBGCP4",0,12,0,"0-2.214",0.39347571054441,1
"TUBGCP5","TUBGCP5",4,25,0.984,"0.248-2.859",1,1
"TUBGCP6","TUBGCP6",16,85,1.16,"0.632-2.005",0.563796567996402,1
"TUFM","TUFM",1,11,0.559,"0.013-3.852",1,1
"TUFT1","TUFT1",0,12,0,"0-2.214",0.39347571054441,1
"TULP1","TULP1",1,21,0.292,"0.007-1.821",0.350727573120309,1
"TULP2","TULP2",5,13,2.372,"0.661-7.109",0.0952232307268908,1
"TULP3","TULP3",2,20,0.614,"0.07-2.536",0.758980955567048,1
"TULP4","TULP4",11,49,1.385,"0.647-2.711",0.34752817393856,1
"TUSC1","TUSC1",1,19,0.323,"0.008-2.037",0.345302423023549,1
"TUSC3","TUSC3",7,7,6.184,"1.847-20.705",0.00143127787564311,1
"TUSC5","TUSC5",1,10,0.615,"0.014-4.33",1,1
"TUT1","TUT1",4,31,0.793,"0.203-2.249",0.810344247154828,1
"TVP23A","TVP23A",1,8,0.769,"0.017-5.744",1,1
"TVP23B","TVP23B",0,3,0,"0-14.893",1,1
"TVP23C","TVP23C",0,11,0,"0-2.451",0.381372621441588,1
"TVP23C-CDRT4","TVP23C-CDRT4",0,7,0,"0-4.27",0.603344925597232,1
"TWF1","TWF1",1,8,0.769,"0.017-5.744",1,1
"TWF2","TWF2",3,11,1.679,"0.3-6.372",0.431542721818455,1
"TWIST1","TWIST1",0,5,0,"0-6.716",1,1
"TWISTNB","TWISTNB",1,9,0.683,"0.016-4.939",1,1
"TWSG1","TWSG1",1,1,6.154,"0.078-481.339",0.260133490143103,1
"TXK","TXK",3,15,1.231,"0.228-4.362",0.731093398242643,1
"TXLNA","TXLNA",2,7,1.759,"0.178-9.255",0.365109577660504,1
"TXLNB","TXLNB",2,9,1.368,"0.144-6.62",0.658821194906285,1
"TXLNG","TXLNG",1,12,0.512,"0.012-3.468",1,1
"TXN2","TXN2",0,3,0,"0-14.893",1,1
"TXNDC11","TXNDC11",6,36,1.025,"0.352-2.465",1,1
"TXNDC12","TXNDC12",0,6,0,"0-5.227",1,1
"TXNDC15","TXNDC15",2,6,2.052,"0.202-11.499",0.310577073195175,1
"TXNDC16","TXNDC16",1,10,0.615,"0.014-4.33",1,1
"TXNDC17","TXNDC17",1,4,1.538,"0.031-15.557",0.529226454405268,1
"TXNDC2","TXNDC2",0,8,0,"0-3.605",0.610068929015988,1
"TXNDC5","TXNDC5",4,12,2.054,"0.482-6.795",0.265087990681448,1
"TXNDC8","TXNDC8",3,3,6.164,"0.824-46.064",0.0392653960121015,1
"TXNDC9","TXNDC9",0,5,0,"0-6.716",1,1
"TXNIP","TXNIP",2,17,0.723,"0.081-3.054",1,1
"TXNL1","TXNL1",2,5,2.463,"0.234-15.066",0.255111685903417,1
"TXNL4A","TXNL4A",0,3,0,"0-14.893",1,1
"TXNL4B","TXNL4B",2,10,1.231,"0.131-5.787",0.679878101976289,1
"TXNRD1","TXNRD1",6,20,1.85,"0.607-4.791",0.249103456598556,1
"TXNRD2","TXNRD2",4,18,1.368,"0.336-4.165",0.53682932860853,1
