"","symbol","cases","ctrls","Odds ratio","95% CIs","P value","Adj. P value"
"ACMSD","ACMSD",1,13,0.473,"0.011-3.153",0.70780597982364,1
"ACN9","ACN9",1,6,1.025,"0.022-8.464",1,1
"ACO1","ACO1",4,24,1.025,"0.258-2.993",1,1
"ACO2","ACO2",1,14,0.439,"0.01-2.89",0.709996289764432,1
"ACOT1","ACOT1",1,1,6.154,"0.078-481.339",0.260133490143103,1
"ACOT11","ACOT11",4,27,0.911,"0.231-2.622",1,1
"ACOT12","ACOT12",2,22,0.558,"0.064-2.277",0.565568150629973,1
"ACOT13","ACOT13",4,4,6.169,"1.147-33.152",0.0166626823550926,1
"ACOT2","ACOT2",6,9,4.118,"1.203-12.986",0.0119509117880577,1
"ACOT4","ACOT4",4,16,1.54,"0.374-4.786",0.511840078855896,1
"ACOT6","ACOT6",2,4,3.079,"0.278-21.514",0.199849978045513,1
"ACOT7","ACOT7",6,11,3.368,"1.02-9.961",0.023101557391822,1
"ACOT8","ACOT8",2,8,1.539,"0.159-7.725",0.639392254739406,1
"ACOT9","ACOT9",2,3,4.106,"0.343-35.884",0.146321784034376,1
"ACOX1","ACOX1",3,12,1.539,"0.278-5.716",0.455429043363959,1
"ACOX2","ACOX2",3,13,1.421,"0.259-5.182",0.481390254039294,1
"ACOX3","ACOX3",4,24,1.025,"0.258-2.993",1,1
"ACOXL","ACOXL",3,20,0.922,"0.175-3.119",1,1
"ACP1","ACP1",0,10,0,"0-2.745",0.375510171744492,1
"ACP2","ACP2",3,13,1.421,"0.259-5.182",0.481390254039294,1
"ACP5","ACP5",0,6,0,"0-5.227",1,1
"ACP6","ACP6",1,13,0.473,"0.011-3.153",0.70780597982364,1
"ACPL2","ACPL2",3,13,1.421,"0.259-5.182",0.481390254039294,1
"ACPP","ACPP",3,18,1.025,"0.193-3.521",1,1
"ACPT","ACPT",4,21,1.172,"0.292-3.484",0.770935104837492,1
"ACR","ACR",1,15,0.41,"0.01-2.667",0.714917673307461,1
"ACRBP","ACRBP",4,11,2.241,"0.52-7.581",0.146976758973893,1
"ACRC","ACRC",2,6,2.052,"0.202-11.499",0.310577073195175,1
"ACRV1","ACRV1",0,7,0,"0-4.27",0.603344925597232,1
"ACSBG1","ACSBG1",6,22,1.681,"0.556-4.289",0.269597015607519,1
"ACSBG2","ACSBG2",5,19,1.622,"0.472-4.503",0.369253344532591,1
"ACSF2","ACSF2",2,21,0.585,"0.066-2.399",0.761589471370194,1
"ACSF3","ACSF3",7,21,2.057,"0.737-5.04",0.100320660083949,1
"ACSL1","ACSL1",0,10,0,"0-2.745",0.375510171744492,1
"ACSL3","ACSL3",3,18,1.025,"0.193-3.521",1,1
"ACSL4","ACSL4",4,8,3.083,"0.678-11.529",0.0745428741557966,1
"ACSL5","ACSL5",2,20,0.614,"0.07-2.536",0.758980955567048,1
"ACSL6","ACSL6",9,17,3.276,"1.283-7.793",0.00660343334142324,1
"ACSM1","ACSM1",3,18,1.025,"0.193-3.521",1,1
"ACSM2A","ACSM2A",7,24,1.799,"0.653-4.318",0.188498230976817,1
"ACSM2B","ACSM2B",8,30,1.645,"0.65-3.686",0.235732269299799,1
"ACSM3","ACSM3",4,23,1.07,"0.268-3.141",0.784502510956041,1
"ACSM4","ACSM4",2,15,0.82,"0.091-3.534",1,1
"ACSM5","ACSM5",3,22,0.838,"0.16-2.798",1,1
"ACSS1","ACSS1",2,23,0.534,"0.061-2.167",0.566040083512449,1
"ACSS2","ACSS2",3,25,0.737,"0.142-2.423",0.788902202795636,1
"ACSS3","ACSS3",2,25,0.491,"0.056-1.975",0.57415365729949,1
"ACTA1","ACTA1",0,6,0,"0-5.227",1,1
"ACTA2","ACTA2",0,5,0,"0-6.716",1,1
"ACTB","ACTB",0,1,0,"0-239.007",1,1
"ACTBL2","ACTBL2",1,12,0.512,"0.012-3.468",1,1
"ACTC1","ACTC1",0,3,0,"0-14.893",1,1
"ACTG1","ACTG1",0,4,0,"0-9.323",1,1
"ACTG2","ACTG2",2,4,3.079,"0.278-21.514",0.199849978045513,1
"ACTL10","ACTL10",2,8,1.539,"0.159-7.725",0.639392254739406,1
"ACTL6A","ACTL6A",2,2,6.159,"0.446-85.26",0.0965477767420391,1
"ACTL6B","ACTL6B",0,3,0,"0-14.893",1,1
"ACTL7A","ACTL7A",2,21,0.585,"0.066-2.399",0.761589471370194,1
"ACTL7B","ACTL7B",3,15,1.231,"0.228-4.362",0.731093398242643,1
"ACTL8","ACTL8",2,9,1.368,"0.144-6.62",0.658821194906285,1
"ACTL9","ACTL9",1,14,0.439,"0.01-2.89",0.709996289764432,1
"ACTN1","ACTN1",3,22,0.838,"0.16-2.798",1,1
"ACTN2","ACTN2",3,23,0.802,"0.154-2.661",1,1
"ACTN4","ACTN4",3,16,1.154,"0.215-4.041",0.741504891089014,1
"ACTR10","ACTR10",1,14,0.439,"0.01-2.89",0.709996289764432,1
"ACTR1A","ACTR1A",0,2,0,"0-32.757",1,1
"ACTR1B","ACTR1B",3,9,2.053,"0.357-8.245",0.22966252990832,1
"ACTR2","ACTR2",0,1,0,"0-239.007",1,1
"ACTR3","ACTR3",0,3,0,"0-14.893",1,1
"ACTR3B","ACTR3B",2,5,2.463,"0.234-15.066",0.255111685903417,1
"ACTR3C","ACTR3C",1,5,1.23,"0.026-11.012",0.595101749677219,1
"ACTR5","ACTR5",3,20,0.922,"0.175-3.119",1,1
"ACTR6","ACTR6",1,10,0.615,"0.014-4.33",1,1
"ACTR8","ACTR8",4,26,0.946,"0.239-2.735",1,1
"ACTRT1","ACTRT1",2,13,0.946,"0.104-4.189",1,1
"ACTRT2","ACTRT2",2,14,0.879,"0.097-3.834",1,1
"ACTRT3","ACTRT3",4,9,2.74,"0.615-9.84",0.0962064612160935,1
"ACVR1","ACVR1",0,5,0,"0-6.716",1,1
"ACVR1B","ACVR1B",0,10,0,"0-2.745",0.375510171744492,1
"ACVR1C","ACVR1C",0,8,0,"0-3.605",0.610068929015988,1
"ACVR2A","ACVR2A",1,5,1.23,"0.026-11.012",0.595101749677219,1
"ACVR2B","ACVR2B",2,6,2.052,"0.202-11.499",0.310577073195175,1
"ACVRL1","ACVRL1",9,11,5.066,"1.851-13.49",0.000776551971367211,1
"ACY1","ACY1",5,13,2.372,"0.661-7.109",0.0952232307268908,1
"ACY3","ACY3",3,9,2.053,"0.357-8.245",0.22966252990832,1
"ACYP1","ACYP1",1,2,3.077,"0.052-59.188",0.363621084433827,1
"ACYP2","ACYP2",1,4,1.538,"0.031-15.557",0.529226454405268,1
"ADA","ADA",3,14,1.319,"0.243-4.737",0.722097011321823,1
"ADAD1","ADAD1",2,7,1.759,"0.178-9.255",0.365109577660504,1
"ADAD2","ADAD2",5,31,0.992,"0.301-2.582",1,1
"ADAL","ADAL",5,3,10.291,"1.999-66.496",0.00205394329937826,1
"ADAM10","ADAM10",2,9,1.368,"0.144-6.62",0.658821194906285,1
"ADAM11","ADAM11",1,16,0.384,"0.009-2.476",0.496145436788319,1
"ADAM12","ADAM12",10,28,2.208,"0.954-4.701",0.0353724869347765,1
"ADAM15","ADAM15",5,22,1.4,"0.413-3.8",0.415376105815866,1
"ADAM17","ADAM17",5,11,2.804,"0.762-8.776",0.0613514563256166,1
"ADAM18","ADAM18",1,16,0.384,"0.009-2.476",0.496145436788319,1
"ADAM19","ADAM19",3,17,1.086,"0.204-3.763",0.752971839014173,1
"ADAM2","ADAM2",5,17,1.813,"0.522-5.133",0.220866241845021,1
"ADAM20","ADAM20",2,13,0.946,"0.104-4.189",1,1
"ADAM21","ADAM21",3,20,0.922,"0.175-3.119",1,1
"ADAM22","ADAM22",2,18,0.683,"0.077-2.859",1,1
"ADAM23","ADAM23",3,18,1.025,"0.193-3.521",1,1
"ADAM28","ADAM28",9,28,1.986,"0.822-4.343",0.0906511351321768,1
"ADAM29","ADAM29",2,21,0.585,"0.066-2.399",0.761589471370194,1
"ADAM30","ADAM30",1,12,0.512,"0.012-3.468",1,1
"ADAM32","ADAM32",2,20,0.614,"0.07-2.536",0.758980955567048,1
"ADAM33","ADAM33",7,32,1.348,"0.501-3.12",0.4846360456666,1
"ADAM7","ADAM7",6,13,2.849,"0.886-8.057",0.0396663268326975,1
"ADAM8","ADAM8",8,34,1.451,"0.579-3.205",0.368292723191041,1
"ADAM9","ADAM9",3,17,1.086,"0.204-3.763",0.752971839014173,1
"ADAMDEC1","ADAMDEC1",2,14,0.879,"0.097-3.834",1,1
"ADAMTS1","ADAMTS1",2,24,0.512,"0.059-2.066",0.568979735906133,1
"ADAMTS10","ADAMTS10",1,23,0.267,"0.006-1.646",0.239266558158527,1
"ADAMTS12","ADAMTS12",6,37,0.997,"0.343-2.392",1,1
"ADAMTS13","ADAMTS13",8,38,1.297,"0.521-2.833",0.51995034926621,1
"ADAMTS14","ADAMTS14",12,65,1.137,"0.557-2.134",0.622605681145562,1
"ADAMTS15","ADAMTS15",3,40,0.46,"0.091-1.448",0.267259769096785,1
"ADAMTS16","ADAMTS16",10,44,1.402,"0.627-2.838",0.32468637598636,1
"ADAMTS17","ADAMTS17",14,72,1.199,"0.622-2.154",0.531078355872073,1
"ADAMTS18","ADAMTS18",9,34,1.634,"0.687-3.491",0.185981522674285,1
"ADAMTS19","ADAMTS19",10,34,1.817,"0.798-3.776",0.121720548638223,1
"ADAMTS2","ADAMTS2",5,24,1.283,"0.381-3.44",0.590237796823468,1
"ADAMTS20","ADAMTS20",8,50,0.984,"0.402-2.1",1,1
"ADAMTS3","ADAMTS3",7,34,1.268,"0.473-2.916",0.502565084810933,1
"ADAMTS4","ADAMTS4",6,21,1.762,"0.58-4.527",0.258138436865367,1
"ADAMTS5","ADAMTS5",6,33,1.119,"0.382-2.714",0.815875643715988,1
"ADAMTS6","ADAMTS6",8,21,2.353,"0.899-5.548",0.0533194692495701,1
"ADAMTS7","ADAMTS7",10,54,1.14,"0.516-2.271",0.716371039453199,1
"ADAMTS8","ADAMTS8",3,36,0.511,"0.101-1.623",0.354695261864882,1
"ADAMTS9","ADAMTS9",12,55,1.346,"0.654-2.555",0.373953050687555,1
"ADAMTSL1","ADAMTSL1",10,62,0.992,"0.452-1.957",1,1
"ADAMTSL2","ADAMTSL2",7,40,1.077,"0.406-2.438",0.832640398828766,1
"ADAMTSL3","ADAMTSL3",8,48,1.025,"0.418-2.195",0.848477313184092,1
"ADAMTSL4","ADAMTSL4",12,42,1.766,"0.843-3.431",0.110812664072567,1
"ADAMTSL5","ADAMTSL5",9,24,2.318,"0.945-5.183",0.0399684446887235,1
"ADAP1","ADAP1",1,16,0.384,"0.009-2.476",0.496145436788319,1
"ADAP2","ADAP2",1,12,0.512,"0.012-3.468",1,1
"ADAR","ADAR",4,25,0.984,"0.248-2.859",1,1
"ADARB1","ADARB1",2,15,0.82,"0.091-3.534",1,1
"ADARB2","ADARB2",2,24,0.512,"0.059-2.066",0.568979735906133,1
"ADAT1","ADAT1",2,10,1.231,"0.131-5.787",0.679878101976289,1
"ADAT2","ADAT2",0,4,0,"0-9.323",1,1
"ADAT3","ADAT3",3,20,0.922,"0.175-3.119",1,1
"ADC","ADC",10,14,4.426,"1.754-10.745",0.000831560368719928,1
"ADCK1","ADCK1",5,26,1.184,"0.354-3.142",0.793547316350366,1
"ADCK2","ADCK2",9,14,3.979,"1.515-9.9",0.00255152600677275,1
"ADCK3","ADCK3",9,22,2.529,"1.022-5.734",0.0316362603760691,1
"ADCK4","ADCK4",5,21,1.467,"0.431-4.009",0.398019319083079,1
"ADCK5","ADCK5",3,7,2.64,"0.44-11.587",0.154003911264573,1
"ADCY1","ADCY1",2,18,0.683,"0.077-2.859",1,1
"ADCY10","ADCY10",6,36,1.025,"0.352-2.465",1,1
"ADCY2","ADCY2",3,19,0.971,"0.184-3.308",1,1
"ADCY3","ADCY3",7,22,1.964,"0.707-4.775",0.112572186814865,1
"ADCY4","ADCY4",8,42,1.173,"0.474-2.539",0.681252108745673,1
"ADCY5","ADCY5",6,30,1.232,"0.418-3.017",0.628645636716728,1
"ADCY6","ADCY6",5,30,1.025,"0.31-2.677",1,1
"ADCY7","ADCY7",4,40,0.614,"0.159-1.703",0.511061070428216,1
"ADCY8","ADCY8",9,43,1.29,"0.551-2.693",0.427917260861708,1
"ADCY9","ADCY9",5,27,1.14,"0.342-3.012",0.797058416412435,1
"ADCYAP1","ADCYAP1",0,9,0,"0-3.117",0.622676612666482,1
"ADCYAP1R1","ADCYAP1R1",3,16,1.154,"0.215-4.041",0.741504891089014,1
"ADD1","ADD1",2,19,0.647,"0.073-2.688",0.758010506082774,1
"ADD2","ADD2",5,12,2.57,"0.708-7.859",0.0772889142146978,1
"ADD3","ADD3",5,18,1.712,"0.496-4.798",0.358532331212776,1
"ADGB","ADGB",5,52,0.59,"0.183-1.471",0.337283870643514,1
"ADH1A","ADH1A",4,15,1.643,"0.396-5.169",0.326861544700347,1
"ADH1B","ADH1B",6,16,2.314,"0.74-6.243",0.112080881507498,1
"ADH4","ADH4",2,20,0.614,"0.07-2.536",0.758980955567048,1
"ADH5","ADH5",1,17,0.361,"0.009-2.31",0.497844008879486,1
"ADH6","ADH6",3,11,1.679,"0.3-6.372",0.431542721818455,1
"ADH7","ADH7",4,8,3.083,"0.678-11.529",0.0745428741557966,1
"ADHFE1","ADHFE1",5,18,1.712,"0.496-4.798",0.358532331212776,1
"ADI1","ADI1",6,8,4.633,"1.322-15.263",0.00811547509616963,1
"ADIPOQ","ADIPOQ",3,6,3.081,"0.498-14.447",0.11971330756652,1
"ADIPOR1","ADIPOR1",1,2,3.077,"0.052-59.188",0.363621084433827,1
"ADIPOR2","ADIPOR2",1,4,1.538,"0.031-15.557",0.529226454405268,1
"ADIRF","ADIRF",1,3,2.051,"0.039-25.583",0.452645520331089,1
"ADK","ADK",0,7,0,"0-4.27",0.603344925597232,1
"ADM","ADM",0,5,0,"0-6.716",1,1
"ADM2","ADM2",0,9,0,"0-3.117",0.622676612666482,1
"ADM5","ADM5",0,2,0,"0-32.757",1,1
"ADNP","ADNP",3,13,1.421,"0.259-5.182",0.481390254039294,1
"ADNP2","ADNP2",3,18,1.025,"0.193-3.521",1,1
"ADO","ADO",1,3,2.051,"0.039-25.583",0.452645520331089,1
"ADORA1","ADORA1",0,5,0,"0-6.716",1,1
"ADORA2A","ADORA2A",2,9,1.368,"0.144-6.62",0.658821194906285,1
"ADORA2B","ADORA2B",1,11,0.559,"0.013-3.852",1,1
"ADORA3","ADORA3",2,8,1.539,"0.159-7.725",0.639392254739406,1
"ADPGK","ADPGK",5,11,2.804,"0.762-8.776",0.0613514563256166,1
"ADPRH","ADPRH",5,9,3.428,"0.901-11.42",0.0356244300334382,1
"ADPRHL1","ADPRHL1",5,16,1.927,"0.551-5.519",0.202045084099006,1
"ADPRHL2","ADPRHL2",6,5,7.415,"1.882-30.785",0.00181469754783862,1
"ADPRM","ADPRM",0,6,0,"0-5.227",1,1
"ADRA1A","ADRA1A",1,14,0.439,"0.01-2.89",0.709996289764432,1
"ADRA1B","ADRA1B",2,5,2.463,"0.234-15.066",0.255111685903417,1
"ADRA1D","ADRA1D",4,16,1.54,"0.374-4.786",0.511840078855896,1
"ADRA2A","ADRA2A",1,6,1.025,"0.022-8.464",1,1
"ADRA2B","ADRA2B",2,20,0.614,"0.07-2.536",0.758980955567048,1
"ADRA2C","ADRA2C",2,17,0.723,"0.081-3.054",1,1
"ADRB1","ADRB1",1,16,0.384,"0.009-2.476",0.496145436788319,1
"ADRB2","ADRB2",2,8,1.539,"0.159-7.725",0.639392254739406,1
"ADRB3","ADRB3",3,17,1.086,"0.204-3.763",0.752971839014173,1
"ADRBK1","ADRBK1",3,11,1.679,"0.3-6.372",0.431542721818455,1
"ADRBK2","ADRBK2",3,16,1.154,"0.215-4.041",0.741504891089014,1
"ADRM1","ADRM1",2,9,1.368,"0.144-6.62",0.658821194906285,1
"ADSL","ADSL",0,20,0,"0-1.244",0.0991432732462037,1
"ADSS","ADSS",2,5,2.463,"0.234-15.066",0.255111685903417,1
"ADSSL1","ADSSL1",5,24,1.283,"0.381-3.44",0.590237796823468,1
"ADTRP","ADTRP",0,8,0,"0-3.605",0.610068929015988,1
"AEBP1","AEBP1",10,39,1.583,"0.702-3.241",0.211520153042615,1
"AEBP2","AEBP2",3,13,1.421,"0.259-5.182",0.481390254039294,1
"AEN","AEN",3,12,1.539,"0.278-5.716",0.455429043363959,1
"AES","AES",3,5,3.698,"0.573-19.033",0.0887155240281463,1
"AF131215.5","AF131215.5",1,0,Inf,"0.158-Inf",0.139835645965243,1
"AF165138.7","AF165138.7",1,5,1.23,"0.026-11.012",0.595101749677219,1
"AF196779.12","AF196779.12",0,7,0,"0-4.27",0.603344925597232,1
"AFAP1","AFAP1",6,32,1.154,"0.394-2.808",0.644781089050364,1
"AFAP1L1","AFAP1L1",2,27,0.455,"0.052-1.814",0.419041622463223,1
"AFAP1L2","AFAP1L2",5,12,2.57,"0.708-7.859",0.0772889142146978,1
"AFF1","AFF1",4,48,0.511,"0.133-1.399",0.231024715428994,1
"AFF2","AFF2",3,27,0.683,"0.132-2.224",0.790947924273004,1
"AFF3","AFF3",5,34,0.904,"0.275-2.331",1,1
"AFF4","AFF4",3,26,0.709,"0.137-2.32",0.789365790114986,1
"AFG3L2","AFG3L2",4,12,2.054,"0.482-6.795",0.265087990681448,1
"AFM","AFM",6,18,2.056,"0.667-5.423",0.134520332742599,1
"AFMID","AFMID",2,12,1.025,"0.111-4.615",1,1
"AFP","AFP",4,14,1.76,"0.421-5.62",0.30354301091107,1
"AFTPH","AFTPH",2,12,1.025,"0.111-4.615",1,1
"AGA","AGA",3,16,1.154,"0.215-4.041",0.741504891089014,1
"AGAP1","AGAP1",8,30,1.645,"0.65-3.686",0.235732269299799,1
"AGAP2","AGAP2",4,30,0.819,"0.209-2.332",1,1
"AGAP2-AS1","AGAP2-AS1",2,2,6.159,"0.446-85.26",0.0965477767420391,1
"AGAP3","AGAP3",3,21,0.878,"0.167-2.949",1,1
"AGAP5","AGAP5",1,3,2.051,"0.039-25.583",0.452645520331089,1
"AGAP6","AGAP6",1,6,1.025,"0.022-8.464",1,1
"AGAP7","AGAP7",3,9,2.053,"0.357-8.245",0.22966252990832,1
"AGBL1","AGBL1",13,48,1.674,"0.829-3.153",0.134356852276204,1
"AGBL2","AGBL2",4,21,1.172,"0.292-3.484",0.770935104837492,1
"AGBL3","AGBL3",7,26,1.66,"0.607-3.94",0.212732275542197,1
"AGBL4","AGBL4",2,16,0.768,"0.086-3.276",1,1
"AGBL5","AGBL5",6,23,1.608,"0.534-4.075",0.283235647630451,1
"AGER","AGER",4,21,1.172,"0.292-3.484",0.770935104837492,1
"AGFG1","AGFG1",4,11,2.241,"0.52-7.581",0.146976758973893,1
"AGFG2","AGFG2",3,14,1.319,"0.243-4.737",0.722097011321823,1
"AGGF1","AGGF1",5,17,1.813,"0.522-5.133",0.220866241845021,1
"AGK","AGK",0,9,0,"0-3.117",0.622676612666482,1
"AGL","AGL",9,44,1.26,"0.539-2.626",0.548908165793068,1
"AGMAT","AGMAT",5,20,1.54,"0.451-4.242",0.382532454514752,1
"AGMO","AGMO",5,11,2.804,"0.762-8.776",0.0613514563256166,1
"AGO1","AGO1",2,7,1.759,"0.178-9.255",0.365109577660504,1
"AGO2","AGO2",3,8,2.31,"0.394-9.644",0.190882615970189,1
"AGO3","AGO3",4,8,3.083,"0.678-11.529",0.0745428741557966,1
"AGO4","AGO4",6,9,4.118,"1.203-12.986",0.0119509117880577,1
"AGPAT1","AGPAT1",0,2,0,"0-32.757",1,1
"AGPAT2","AGPAT2",1,11,0.559,"0.013-3.852",1,1
"AGPAT3","AGPAT3",1,3,2.051,"0.039-25.583",0.452645520331089,1
"AGPAT4","AGPAT4",1,7,0.879,"0.019-6.851",1,1
"AGPAT5","AGPAT5",1,8,0.769,"0.017-5.744",1,1
"AGPAT6","AGPAT6",2,4,3.079,"0.278-21.514",0.199849978045513,1
"AGPAT9","AGPAT9",1,14,0.439,"0.01-2.89",0.709996289764432,1
"AGPS","AGPS",0,6,0,"0-5.227",1,1
"AGR2","AGR2",0,3,0,"0-14.893",1,1
"AGR3","AGR3",1,9,0.683,"0.016-4.939",1,1
"AGRN","AGRN",15,96,0.961,"0.515-1.673",1,1
"AGRP","AGRP",2,1,12.317,"0.641-723.543",0.0531583015616563,1
"AGT","AGT",2,14,0.879,"0.097-3.834",1,1
"AGTPBP1","AGTPBP1",3,19,0.971,"0.184-3.308",1,1
"AGTR1","AGTR1",2,4,3.079,"0.278-21.514",0.199849978045513,1
"AGTR2","AGTR2",2,8,1.539,"0.159-7.725",0.639392254739406,1
"AGTRAP","AGTRAP",2,5,2.463,"0.234-15.066",0.255111685903417,1
"AGXT","AGXT",4,17,1.449,"0.354-4.454",0.523188248243264,1
"AGXT2","AGXT2",3,20,0.922,"0.175-3.119",1,1
"AHCTF1","AHCTF1",4,39,0.63,"0.163-1.75",0.508796826464718,1
"AHCY","AHCY",1,10,0.615,"0.014-4.33",1,1
"AHCYL1","AHCYL1",0,5,0,"0-6.716",1,1
"AHCYL2","AHCYL2",3,12,1.539,"0.278-5.716",0.455429043363959,1
"AHDC1","AHDC1",15,49,1.896,"0.984-3.453",0.0435545105953885,1
"AHI1","AHI1",4,44,0.558,"0.145-1.536",0.400265205428243,1
"AHNAK","AHNAK",46,169,1.705,"1.195-2.394",0.00260008955923922,1
"AHNAK2","AHNAK2",29,174,1.026,"0.664-1.536",0.918187877188942,1
"AHR","AHR",4,12,2.054,"0.482-6.795",0.265087990681448,1
"AHRR","AHRR",8,24,2.058,"0.797-4.751",0.0765854086621856,1
"AHSA1","AHSA1",1,2,3.077,"0.052-59.188",0.363621084433827,1
"AHSA2","AHSA2",1,9,0.683,"0.016-4.939",1,1
"AHSG","AHSG",1,10,0.615,"0.014-4.33",1,1
"AHSP","AHSP",2,3,4.106,"0.343-35.884",0.146321784034376,1
"AICDA","AICDA",0,3,0,"0-14.893",1,1
"AIDA","AIDA",0,4,0,"0-9.323",1,1
"AIF1","AIF1",2,3,4.106,"0.343-35.884",0.146321784034376,1
"AIF1L","AIF1L",1,5,1.23,"0.026-11.012",0.595101749677219,1
"AIFM1","AIFM1",1,4,1.538,"0.031-15.557",0.529226454405268,1
"AIFM2","AIFM2",5,10,3.085,"0.826-9.93",0.0474611891561284,1
"AIFM3","AIFM3",7,29,1.488,"0.549-3.483",0.334197936694486,1
"AIG1","AIG1",1,5,1.23,"0.026-11.012",0.595101749677219,1
"AIM1","AIM1",9,39,1.423,"0.604-2.998",0.302025951193437,1
"AIM1L","AIM1L",6,30,1.232,"0.418-3.017",0.628645636716728,1
"AIM2","AIM2",1,6,1.025,"0.022-8.464",1,1
"AIMP1","AIMP1",2,12,1.025,"0.111-4.615",1,1
"AIMP2","AIMP2",3,13,1.421,"0.259-5.182",0.481390254039294,1
"AIP","AIP",4,11,2.241,"0.52-7.581",0.146976758973893,1
"AIPL1","AIPL1",3,10,1.848,"0.326-7.192",0.410568517995923,1
"AIRE","AIRE",2,16,0.768,"0.086-3.276",1,1
"AJAP1","AJAP1",4,9,2.74,"0.615-9.84",0.0962064612160935,1
"AJUBA","AJUBA",3,12,1.539,"0.278-5.716",0.455429043363959,1
"AK1","AK1",0,9,0,"0-3.117",0.622676612666482,1
"AK2","AK2",2,7,1.759,"0.178-9.255",0.365109577660504,1
"AK3","AK3",3,15,1.231,"0.228-4.362",0.731093398242643,1
"AK4","AK4",2,12,1.025,"0.111-4.615",1,1
"AK5","AK5",3,11,1.679,"0.3-6.372",0.431542721818455,1
"AK7","AK7",8,18,2.747,"1.031-6.66",0.0216710085220187,1
"AK8","AK8",4,21,1.172,"0.292-3.484",0.770935104837492,1
"AK9","AK9",7,54,0.796,"0.305-1.761",0.71145728300562,1
"AKAP1","AKAP1",3,18,1.025,"0.193-3.521",1,1
"AKAP10","AKAP10",3,7,2.64,"0.44-11.587",0.154003911264573,1
"AKAP11","AKAP11",5,39,0.788,"0.242-2.006",0.82709536473006,1
"AKAP12","AKAP12",8,44,1.119,"0.454-2.413",0.690965096408659,1
"AKAP13","AKAP13",9,61,0.907,"0.395-1.844",1,1
"AKAP14","AKAP14",0,3,0,"0-14.893",1,1
"AKAP17A","AKAP17A",7,28,1.541,"0.567-3.623",0.323948206537819,1
"AKAP2","AKAP2",7,30,1.438,"0.532-3.353",0.346157429043296,1
"AKAP3","AKAP3",2,16,0.768,"0.086-3.276",1,1
"AKAP4","AKAP4",6,5,7.415,"1.882-30.785",0.00181469754783862,1
"AKAP5","AKAP5",0,3,0,"0-14.893",1,1
"AKAP6","AKAP6",2,54,0.226,"0.027-0.861",0.0191432438005766,1
"AKAP7","AKAP7",0,7,0,"0-4.27",0.603344925597232,1
"AKAP8","AKAP8",1,25,0.245,"0.006-1.502",0.164515035418228,1
"AKAP8L","AKAP8L",7,20,2.16,"0.77-5.336",0.0896478813910942,1
"AKAP9","AKAP9",26,94,1.719,"1.063-2.694",0.0229005606464611,1
"AKIP1","AKIP1",1,8,0.769,"0.017-5.744",1,1
"AKIRIN1","AKIRIN1",0,5,0,"0-6.716",1,1
"AKIRIN2","AKIRIN2",1,5,1.23,"0.026-11.012",0.595101749677219,1
"AKNA","AKNA",8,26,1.899,"0.741-4.335",0.131016164384073,1
"AKNAD1","AKNAD1",4,13,1.896,"0.449-6.153",0.282760427400664,1
"AKR1A1","AKR1A1",2,13,0.946,"0.104-4.189",1,1
"AKR1B1","AKR1B1",3,10,1.848,"0.326-7.192",0.410568517995923,1
"AKR1B10","AKR1B10",3,9,2.053,"0.357-8.245",0.22966252990832,1
"AKR1B15","AKR1B15",2,17,0.723,"0.081-3.054",1,1
"AKR1C1","AKR1C1",1,14,0.439,"0.01-2.89",0.709996289764432,1
"AKR1C2","AKR1C2",1,15,0.41,"0.01-2.667",0.714917673307461,1
"AKR1C3","AKR1C3",2,12,1.025,"0.111-4.615",1,1
"AKR1C4","AKR1C4",4,12,2.054,"0.482-6.795",0.265087990681448,1
"AKR1CL1","AKR1CL1",0,9,0,"0-3.117",0.622676612666482,1
"AKR1D1","AKR1D1",1,10,0.615,"0.014-4.33",1,1
"AKR1E2","AKR1E2",3,15,1.231,"0.228-4.362",0.731093398242643,1
"AKR7A2","AKR7A2",5,15,2.055,"0.583-5.965",0.185648735666623,1
"AKR7A3","AKR7A3",1,13,0.473,"0.011-3.153",0.70780597982364,1
"AKR7L","AKR7L",2,4,3.079,"0.278-21.514",0.199849978045513,1
"AKT1","AKT1",1,11,0.559,"0.013-3.852",1,1
"AKT1S1","AKT1S1",4,7,3.524,"0.755-13.89",0.0556606987162643,1
"AKT2","AKT2",0,11,0,"0-2.451",0.381372621441588,1
"AKT3","AKT3",2,4,3.079,"0.278-21.514",0.199849978045513,1
"AKTIP","AKTIP",2,5,2.463,"0.234-15.066",0.255111685903417,1
"AL009178.1","AL009178.1",1,2,3.077,"0.052-59.188",0.363621084433827,1
"AL020996.1","AL020996.1",1,1,6.154,"0.078-481.339",0.260133490143103,1
"AL021546.6","AL021546.6",0,5,0,"0-6.716",1,1
"AL022328.1","AL022328.1",1,2,3.077,"0.052-59.188",0.363621084433827,1
"AL031590.1","AL031590.1",1,0,Inf,"0.158-Inf",0.139835645965243,1
"AL031663.2","AL031663.2",1,1,6.154,"0.078-481.339",0.260133490143103,1
"AL031666.2","AL031666.2",0,3,0,"0-14.893",1,1
"AL035252.1","AL035252.1",0,1,0,"0-239.007",1,1
"AL035406.1","AL035406.1",1,1,6.154,"0.078-481.339",0.260133490143103,1
"AL049747.1","AL049747.1",0,3,0,"0-14.893",1,1
"AL049829.1","AL049829.1",0,3,0,"0-14.893",1,1
"AL049840.1","AL049840.1",0,2,0,"0-32.757",1,1
